Author,Work,Nation,Age
Ernest Hemingway,A Farewell to Arms,The United States,The Chaotic Age (20th Century)
Ernest Hemingway,The Sun Also Rises,The United States,The Chaotic Age (20th Century)
Ernest Hemingway,The Garden of Eden,The United States,The Chaotic Age (20th Century)
John Steinbeck,The Grapes of Wrath,The United States,The Chaotic Age (20th Century)
"Zora Neale Hurston,",Their Eyes Were Watching God,The United States,The Chaotic Age (20th Century)
"Nathanael West, 1903-1940",Miss Lonelyhearts,The United States,The Chaotic Age (20th Century)
"Nathanael West, 1903-1940",A Cool Million,The United States,The Chaotic Age (20th Century)
"Nathanael West, 1903-1940",The Day of the Locust,The United States,The Chaotic Age (20th Century)
Richard Wright,Native Son,The United States,The Chaotic Age (20th Century)
Richard Wright,Black Boy,The United States,The Chaotic Age (20th Century)
Eudora Welty,Collected Stories,The United States,The Chaotic Age (20th Century)
Eudora Welty,Delta Wedding,The United States,The Chaotic Age (20th Century)
Eudora Welty,The Robber Bridegroom,The United States,The Chaotic Age (20th Century)
Eudora Welty,The Ponder Heart,The United States,The Chaotic Age (20th Century)
Langston Hughes,Selected Poems,The United States,The Chaotic Age (20th Century)
Langston Hughes,The Big Sea,The United States,The Chaotic Age (20th Century)
Langston Hughes,I Wonder as I Wander,The United States,The Chaotic Age (20th Century)
Edmund Wilson,The Shores of Light,The United States,The Chaotic Age (20th Century)
Edmund Wilson,Patriotic Gore,The United States,The Chaotic Age (20th Century)
Kenneth Burke,Counter-statement,The United States,The Chaotic Age (20th Century)
Kenneth Burke,A Rhetoric of Motives,The United States,The Chaotic Age (20th Century)
Joseph Mitchell,Up in the Old Hotel,The United States,The Chaotic Age (20th Century)
Abraham Cahan,The Rise of David Levinsky,The United States,The Chaotic Age (20th Century)
Kay Boyle,Three Short Stories,The United States,The Chaotic Age (20th Century)
Ellen Glasgow,Barren Ground,The United States,The Chaotic Age (20th Century)
"Marquand, John P.","H. M. Pulham, Esquire",The United States,The Chaotic Age (20th Century)
"O'Hara, John.",Collected Stories,The United States,The Chaotic Age (20th Century)
"O'Hara, John.",Appointment in Samarra,The United States,The Chaotic Age (20th Century)
Henry Roth,Call It Sleep,The United States,The Chaotic Age (20th Century)
Thornton Wilder,Three Plays,The United States,The Chaotic Age (20th Century)
"Warren, Robert Penn.",All the King's Men,The United States,The Chaotic Age (20th Century)
"Warren, Robert Penn.",World Enough and Time,The United States,The Chaotic Age (20th Century)
"Warren, Robert Penn.",Selected Poems,The United States,The Chaotic Age (20th Century)
Delmore Schwartz,Summer Knowledge: Selected Poems,The United States,The Chaotic Age (20th Century)
Weldon Kees,Collected Poems,The United States,The Chaotic Age (20th Century)
Elizabeth Bishop,The Complete Poems,The United States,The Chaotic Age (20th Century)
John Berryman,Collected Poems,The United States,The Chaotic Age (20th Century)
Paul Bowles,The Sheltering Sky,The United States,The Chaotic Age (20th Century)
Randall Jarrell,Complete Poems,The United States,The Chaotic Age (20th Century)
Charles Olson,The Maximus Poems,The United States,The Chaotic Age (20th Century)
Charles Olson,Collected Poems,The United States,The Chaotic Age (20th Century)
Robert Hayden,Collected Poems,The United States,The Chaotic Age (20th Century)
Robert Lowell,Collected Poems,The United States,The Chaotic Age (20th Century)
Theodore Roethke,Collected Poems,The United States,The Chaotic Age (20th Century)
Theodore Roethke,Straw for the Fire,The United States,The Chaotic Age (20th Century)
James Agee,Permit Me Voyage,The United States,The Chaotic Age (20th Century)
James Agee,Let Us Now Praise Famous Men (with Walker Evans),The United States,The Chaotic Age (20th Century)
Jean Garrigue,Selected Poems,The United States,The Chaotic Age (20th Century)
May Swenson,New & Selected Things Taking Place,The United States,The Chaotic Age (20th Century)
May Swenson,In Other Words,The United States,The Chaotic Age (20th Century)
Robert Duncan,Bending the Bow,The United States,The Chaotic Age (20th Century)
Richard Wilbur,New and Collected Poems,The United States,The Chaotic Age (20th Century)
Richard Eberhart,Collected Poems,The United States,The Chaotic Age (20th Century)
"Tolson, M.B.",Harlem Gallery,The United States,The Chaotic Age (20th Century)
Kenneth Koch,Seasons on Earth,The United States,The Chaotic Age (20th Century)
"O'Hara, Frank.",Selected Poems,The United States,The Chaotic Age (20th Century)
James Schuyler,Collected Poems,The United States,The Chaotic Age (20th Century)
James Baldwin,The Price of the Ticket,The United States,The Chaotic Age (20th Century)
Saul Bellow,Seize the Day,The United States,The Chaotic Age (20th Century)
Saul Bellow,The Adventures of Augie March,The United States,The Chaotic Age (20th Century)
Saul Bellow,Herzog,The United States,The Chaotic Age (20th Century)
John Cheever,The Stories,The United States,The Chaotic Age (20th Century)
John Cheever,Bullet Park,The United States,The Chaotic Age (20th Century)
Ralph Ellison,Invisible Man,The United States,The Chaotic Age (20th Century)
Truman Capote,In Cold Blood,The United States,The Chaotic Age (20th Century)
"McCullers, Carson.",The Ballad of the Sad Café,The United States,The Chaotic Age (20th Century)
"McCullers, Carson.",The Heart Is a Lonely Hunter,The United States,The Chaotic Age (20th Century)
"O'Connor, Flanner.",Complete Stories,The United States,The Chaotic Age (20th Century)
"O'Connor, Flanner.",The Violent Bear It Away,The United States,The Chaotic Age (20th Century)
"O'Connor, Flanner.",Wise Blood,The United States,The Chaotic Age (20th Century)
Vladimir Nabokov,Lolita,The United States,The Chaotic Age (20th Century)
Vladimir Nabokov,Pale Fire,The United States,The Chaotic Age (20th Century)
Gore Vidal,Myra Brechinridge,The United States,The Chaotic Age (20th Century)
Gore Vidal,Lincoln,The United States,The Chaotic Age (20th Century)
William Styron,The Long March,The United States,The Chaotic Age (20th Century)
"Salinger, J.D.",The Catcher in the Rye,The United States,The Chaotic Age (20th Century)
"Salinger, J.D.",Nine Stories,The United States,The Chaotic Age (20th Century)
Wright Morris,Ceremony in Lone Tree,The United States,The Chaotic Age (20th Century)
Bernard Malamud,The Stories,The United States,The Chaotic Age (20th Century)
Bernard Malamud,The Fixer,The United States,The Chaotic Age (20th Century)
Norman Mailer,Advertisements for Myself,The United States,The Chaotic Age (20th Century)
Norman Mailer,The Executioner's Song,The United States,The Chaotic Age (20th Century)
Norman Mailer,Ancient Evenings,The United States,The Chaotic Age (20th Century)
John Hawkes,The Cannibal,The United States,The Chaotic Age (20th Century)
John Hawkes,Second Skin,The United States,The Chaotic Age (20th Century)
William Gaddis,The Recognitions,The United States,The Chaotic Age (20th Century)
Tennessee Williams,A Glass Menagerie,The United States,The Chaotic Age (20th Century)
Tennessee Williams,A Streetcar Named Desire,The United States,The Chaotic Age (20th Century)
Tennessee Williams,Summer and Smoke,The United States,The Chaotic Age (20th Century)
Arthur Miller,Death of a Salesman,The United States,The Chaotic Age (20th Century)
"Mayer, Edwin Justus.",Children of Darkness,The United States,The Chaotic Age (20th Century)
Harold Brodkey,Stories in an Almost Classical Mode,The United States,The Chaotic Age (20th Century)
Ursula K. Le Guin,The Left Hand of Darkness,The United States,The Chaotic Age (20th Century)
Raymond Carver,Where I'm Calling From,The United States,The Chaotic Age (20th Century)
Robert Coover,Spanking the Maid,The United States,The Chaotic Age (20th Century)
Don DeLillo,White Noise,The United States,The Chaotic Age (20th Century)
Don DeLillo,Libra,The United States,The Chaotic Age (20th Century)
Don DeLillo,Running Dog,The United States,The Chaotic Age (20th Century)
Don DeLillo,Mao II,The United States,The Chaotic Age (20th Century)
John Crowley,"Little, Big",The United States,The Chaotic Age (20th Century)
John Crowley,Aegypt,The United States,The Chaotic Age (20th Century)
John Crowley,Love and Sleep,The United States,The Chaotic Age (20th Century)
Guy Davenport,Tatlin!,The United States,The Chaotic Age (20th Century)
James Dickey,The Early Motion,The United States,The Chaotic Age (20th Century)
James Dickey,The Central Motion,The United States,The Chaotic Age (20th Century)
E.L. Doctorow,The Book of Daniel,The United States,The Chaotic Age (20th Century)
E.L. Doctorow,World's Fair,The United States,The Chaotic Age (20th Century)
Stanley Elkin,The Living End,The United States,The Chaotic Age (20th Century)
William Gass,In the Heart of the Country,The United States,The Chaotic Age (20th Century)
William Gass,Omensetter's Luck,The United States,The Chaotic Age (20th Century)
Russell Hoban,Riddley Walker,The United States,The Chaotic Age (20th Century)
Denis Johnson,Angels,The United States,The Chaotic Age (20th Century)
Denis Johnson,Fiskadoro,The United States,The Chaotic Age (20th Century)
Denis Johnson,Jesus' Son,The United States,The Chaotic Age (20th Century)
Cormac McCarthy,Blood Meridian,The United States,The Chaotic Age (20th Century)
Cormac McCarthy,Suttree,The United States,The Chaotic Age (20th Century)
Cormac McCarthy,Child of God,The United States,The Chaotic Age (20th Century)
William Kennedy,Ironweed,The United States,The Chaotic Age (20th Century)
William Kennedy,The Albany Cycle,The United States,The Chaotic Age (20th Century)
Toni Morrison,Song of Soloman,The United States,The Chaotic Age (20th Century)
Gloria Naylor,The Women of Brewster Place,The United States,The Chaotic Age (20th Century)
Joyce Carol Oates,Them,The United States,The Chaotic Age (20th Century)
Walker Percy,The Moviegoer,The United States,The Chaotic Age (20th Century)
Grace Paley,The Little Disturbances of Man,The United States,The Chaotic Age (20th Century)
Thomas Pynchon,V.,The United States,The Chaotic Age (20th Century)
Thomas Pynchon,The Crying of Lot 49,The United States,The Chaotic Age (20th Century)
Thomas Pynchon,Gravity's Rainbow,The United States,The Chaotic Age (20th Century)
Cynthia Ozick,"Envy, or Yiddish in America",The United States,The Chaotic Age (20th Century)
Cynthia Ozick,The Messiah of Stockholm,The United States,The Chaotic Age (20th Century)
Ishmael Reed,Mumbo Jumbo,The United States,The Chaotic Age (20th Century)
Philip Roth,Portnoy's Complaint,The United States,The Chaotic Age (20th Century)
Philip Roth,My Life as a Man,The United States,The Chaotic Age (20th Century)
Philip Roth,Zuckerman Bound: A Trilogy and Epilogue,The United States,The Chaotic Age (20th Century)
Philip Roth,The Counterlife,The United States,The Chaotic Age (20th Century)
Philip Roth,Patrimony,The United States,The Chaotic Age (20th Century)
Philip Roth,Operation Shylock,The United States,The Chaotic Age (20th Century)
James Salter,Solo Faces,The United States,The Chaotic Age (20th Century)
James Salter,Light Years,The United States,The Chaotic Age (20th Century)
Robert Stone,Dog Soldiers,The United States,The Chaotic Age (20th Century)
Robert Stone,A Flag for Sunrise,The United States,The Chaotic Age (20th Century)
John Barth,The Floating Opera,The United States,The Chaotic Age (20th Century)
John Barth,The End of the Road,The United States,The Chaotic Age (20th Century)
John Barth,The Sot-Weed Factor,The United States,The Chaotic Age (20th Century)
Walter Abish,Alphabetical Africa,The United States,The Chaotic Age (20th Century)
Walter Abish,How German Is It,The United States,The Chaotic Age (20th Century)
Walter Abish,Eclipse Fever,The United States,The Chaotic Age (20th Century)
Walter Abish,I am the Dust Under Your Feet,The United States,The Chaotic Age (20th Century)
Donald Barthelme,Forty Stories,The United States,The Chaotic Age (20th Century)
Donald Barthelme,The Dead Father,The United States,The Chaotic Age (20th Century)
Thomas M. Disch,On Wings of Song,The United States,The Chaotic Age (20th Century)
Paul Theroux,The Mosquito Coast,The United States,The Chaotic Age (20th Century)
John Updike,The Witches of Eastwick,The United States,The Chaotic Age (20th Century)
Kurt Vonnegut,Cat's Cradle,The United States,The Chaotic Age (20th Century)
Edmund White,Forgetting Elena,The United States,The Chaotic Age (20th Century)
Edmund White,Nocturnes for the King of Naples,The United States,The Chaotic Age (20th Century)
James McCourt,Time Remaining,The United States,The Chaotic Age (20th Century)
James Wilcox,Modern Baptists,The United States,The Chaotic Age (20th Century)
A.R. Ammons,Collected Poems,The United States,The Chaotic Age (20th Century)
A.R. Ammons,Selected Longer Poems,The United States,The Chaotic Age (20th Century)
A.R. Ammons,Collected Poems,The United States,The Chaotic Age (20th Century)
A.R. Ammons,Sphere: The Form of a Motion,The United States,The Chaotic Age (20th Century)
John Ashbery,The Double Dream of Spring,The United States,The Chaotic Age (20th Century)
John Ashbery,Houseboat Days,The United States,The Chaotic Age (20th Century)
John Ashbery,Selected Poems,The United States,The Chaotic Age (20th Century)
John Ashbery,Flow Chart,The United States,The Chaotic Age (20th Century)
John Ashbery,Hotel Lautréamont,The United States,The Chaotic Age (20th Century)
John Ashbery,And the Stars Were Shining,The United States,The Chaotic Age (20th Century)
David Mamet,American Buffalo,The United States,The Chaotic Age (20th Century)
David Mamet,Speed-the-Plow,The United States,The Chaotic Age (20th Century)
David Rabe,Streamers,The United States,The Chaotic Age (20th Century)
Sam Shepard,Seven Plays,The United States,The Chaotic Age (20th Century)
August Wilson,Fences,The United States,The Chaotic Age (20th Century)
August Wilson,Joe Turner's Come and Gone,The United States,The Chaotic Age (20th Century)
Anthony Hecht,Collected Earlier Poems,The United States,The Chaotic Age (20th Century)
Edgar Bowers,Living Together: New and Selected Poems,The United States,The Chaotic Age (20th Century)
Donald Justice,Selected Poems,The United States,The Chaotic Age (20th Century)
James Merrill,From the First Nine,The United States,The Chaotic Age (20th Century)
W.S. Merwin,The Changing Light at Sandover,The United States,The Chaotic Age (20th Century)
James Wright,Above the River: The Complete Poems,The United States,The Chaotic Age (20th Century)
Galway Kinnell,Selected Poems,The United States,The Chaotic Age (20th Century)
Philip Levine,Selected Poems,The United States,The Chaotic Age (20th Century)
Irving Feldman,New and Selected Poems,The United States,The Chaotic Age (20th Century)
Donald Hall,The One Day,The United States,The Chaotic Age (20th Century)
Donald Hall,Old and New Poems,The United States,The Chaotic Age (20th Century)
Alvin Feinman,Poems,The United States,The Chaotic Age (20th Century)
Richard Howard,Untitled Subjects,The United States,The Chaotic Age (20th Century)
Richard Howard,Findings,The United States,The Chaotic Age (20th Century)
John Hollander,Reflections on Espionage,The United States,The Chaotic Age (20th Century)
John Hollander,Selected Poetry,The United States,The Chaotic Age (20th Century)
John Hollander,Tesserae,The United States,The Chaotic Age (20th Century)
Gary Snyder,No Nature: New and Selected Poems,The United States,The Chaotic Age (20th Century)
Charles Simic,Selected Poems,The United States,The Chaotic Age (20th Century)
Mark Strand,Selected Poems,The United States,The Chaotic Age (20th Century)
Mark Strand,The Continuous Life,The United States,The Chaotic Age (20th Century)
Mark Strand,Dark Harbor,The United States,The Chaotic Age (20th Century)
Charles Wright,The World of the Ten Thousand Things,The United States,The Chaotic Age (20th Century)
Jay Wright,Dimensions of History,The United States,The Chaotic Age (20th Century)
Jay Wright,The Double Invention of Komo,The United States,The Chaotic Age (20th Century)
Jay Wright,Selected Poems,The United States,The Chaotic Age (20th Century)
Jay Wright,Elaine's Book,The United States,The Chaotic Age (20th Century)
Jay Wright,Boleros,The United States,The Chaotic Age (20th Century)
Amy Clampitt,Westward,The United States,The Chaotic Age (20th Century)
Allen Grossman,The Ether Dome and Other Poems: New and Selected,The United States,The Chaotic Age (20th Century)
Howard Moss,New Selected Poems,The United States,The Chaotic Age (20th Century)
James Applewhite,River Writing: An Eno Journal,The United States,The Chaotic Age (20th Century)
"McClatchy, J.D.",The Rest of the Way,The United States,The Chaotic Age (20th Century)
Alfred Cord,A Call in the Midst of the Crowd,The United States,The Chaotic Age (20th Century)
Douglas Crase,The Revisionist,The United States,The Chaotic Age (20th Century)
Rita Dove,Selected Poems,The United States,The Chaotic Age (20th Century)
Thylias Moss,Small Congregations: New and Selected Poems,The United States,The Chaotic Age (20th Century)
Edward Hirsch,Earthly Measures,The United States,The Chaotic Age (20th Century)
Tony Kushner,Angels in America,The United States,The Chaotic Age (20th Century)
